Paper Title,Format,Year,Author 1,Role 1,Author Affiliation 1,Author 2,Role 2,Author Affiliation 2,Author 3,Role 3,Author Affiliation 3,Author 4,Role 4,Author Affiliation 4,Author 5,Role5,Author Affiliation 5,Country of Origin,Conference or Journal,Location of Conference,Method 1,Method 2,Method 3,Source,abstract,Class1,Class2,Class3,,,,,,,,,,,,,,,,,,,,,,
The Search for Information and the Net Generation,C,2007,Combes,Lecturer,Edith Cowan Univesity,,,,,,,,,,,,,Australia,International Association of School Librarianship,Taipei,Surveys,Interviews,Quantitative,http://search.proquest.com/docview/236035428/abstract?accountid=14474,"Supporters of the Net Generation theory claim that children born after 1985 have an in-depth grasp and almost 'intuitive' knowledge of how to use technology, simply because they have never known a world without the Internet and technological change. This theory contradicts traditional information theory which contends that information-seeking behaviour is a complex activity that is affected by cultural, educational and social contexts. Anecdotal evidence from schools and public libraries has long suggested that while young people actively use technology, they do not use it as described by the Net generation theorists. In recent years there has been an emerging body of research on the Net Generation that largely debunks the myth of an intuitive user who is capable of using electronic resources to find information, a fact many teacher librarians have long suspected. This paper explores the initial findings of research into the information-seeking behaviour of young adults and how they use a range of technologies and electronic resources. [PUBLICATION ABSTRACT]",Information Seeking,,,,,,,,,,,,,,,,,,,,,,,,
Wikis in School Libraries,C,2007,Dukic,Librarian,Kowloon Junior School,,,,,,,,,,,,,Hong Kong,International Association of School Librarianship,Taipei,Review,,Qualitative,http://search.proquest.com/docview/236045077/abstract?accountid=14474,"The Web 2.0 thinking and accompanying technologies opened a new direction of development for libraries. Among different Web 2.0 applications wikis are particularly attractive for school librarians. Wikis are read-write web pages that are easy to use, accommodate other Web 2.0 features and are widely applicable for a number of purposes. A Wiki space named LibraryZone is a good example of using wiki in elementary school library. LibraryZone is used for information literacy instructions, conducting a collaborative project, for story writing and as a discussion space.",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
Getting Pat 'shsssh': Online Focus Groups as Empowering Professional Development for Teacher Librarians,C,2007,Mardis,Professor,Wayne State University,Hoffman,Associate Professor,University of Hawaii at Manoa,,,,,,,,,,United States,International Association of School Librarianship,Taipei,Online Focus Group,,Qualitative,http://search.proquest.com/docview/236046603/abstract?accountid=14474,"This methodological review reports how online focus groups not only benefit the qualitative researcher but also provide professional growth among participants. The authors suggest that for school librarians, who often have limited opportunities for tailored professional development, focus groups can rapidly build a community of practice that transcends the original purpose of the researcher, enhancing knowledge and empowering new actions within schools following the model of Denzin (1997). By providing interaction, self-reflection, and professional sharing, the online focus group is a potentially powerful tool to include educators who share a professional culture but would not easily be reached by in-person techniques, as well as a method through which researchers can foster meaningful beneficial opportunities for professional learning and empowerment. [PUBLICATION ABSTRACT]",Methodology,,,,,,,,,,,,,,,,,,,,,,,,
Usage of Distance and Blended Learning in Educating School Librarians,C,2007,Zorica,Research/Teaching Assistant,University of Zagreb,Spiranec,Research/Teaching Assistant,University of Zagreb,Lazic,Research/Teaching Assistant,University of Zagreb,,,,,,,Croatia,International Association of School Librarianship,Taipei,Surveys,Interviews,Qualitative,http://search.proquest.com/docview/236035267/fulltextPDF?accountid=14474,"Paper shows the case study of transforming traditional learning environment (based on teacher-centred instruction), to the blended learning environment (based on student-centred instruction) using Open Source Learning Management Systems, like Moodle. Special attention was on the advantages in usage of this tool in educating LIS professionals. Authors try to investigate whether new technologies help and motivate students master the necessary knowledge, especially when applied to the mandatory courses. Differences in motivation and access to the studies between the full-time and part-time students are also compared. Data fo the evaluation have been gathered through numerous satisfaction surveys and interviews with the students of Department of Information Sciences, Faculty of Humanities and Social Sciences, University of Zagreb, both full-time and part-time, as well as through the analysis of the data from the faculty's e-learning system. [PUBLICATION ABSTRACT]",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
"Challenging School Libraries in Portugal: Compromise, consideration, communication and collaboration",C,2006,Bastos,Professor,Universidade Aberta,,,,,,,,,,,,,Portugal,International Association of School Librarianship,Portugal,Analysis,,Qualitative,http://repositorioaberto.uab.pt/bitstream/10400.2/1981/1/IASL2006.pdf,"School libraries in Portugal are facing several problems concerning their integration in school¨¹s culture. This situation is due to different factors, which I intend to analyse in this paper. The first one comes from central administration and the institutionalization of the role of teacher librarian. At the school level, the commitment of school administrators and the collaboration with classroom teachers also need special attention.",Analysis of LIS,,,,,,,,,,,,,,,,,,,,,,,,
"Specific information literacy instruction, in several different language, for pupils studying for university entrance examinations",C,2006,Boelens,Librarian,Kalsbeek College,,,,,,,,,,,,,The Netherlands,International Association of School Librarianship,Portugal,Description of Instruction,,Qualitative,http://search.proquest.com/docview/236087635/abstract?accountid=14474,"The purpose of this paper is to describe the instruction in specific information literacy skills, in several different languages, for final examination pupils, which has taken place during 2005. This instruction is part of a structure or matrix for information literacy instruction and training, for pupils aged between 11 and 18 years of age, which has been developed in the School Library and Information Centre at the Kalsbeek College, Woerden, the Netherlands. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Possibilities for implementation of information literacy programs in Brazilian school libraries: information skills in the National Curricular Standards,C,2006,Campello,Professor,Federal University of Minas Gerais,,,,,,,,,,,,,Brazil,International Association of School Librarianship,Portugal,Analysis,,Qualitative,http://search.proquest.com/docview/236087265/abstract?accountid=14474,"An analysis was made of the Brazilian National Curricular Standards for basic education in order to identify skills related to information literacy, using AASL Information Power as basis. The objective of this analysis was to investigate the extent to which these skills are represented in the Brazilian educational policy document and if they are viewed as integral part of students' comprehensive literacy. The analysis showed that NCS include the basic information literacy skills (to access, evaluate and use information). Emphasis on independent learning by means of a variety of information resources is present in the document as well as issues regarding social responsibility. So, there is a positive perspective for information literacy programs to be developed in Brazilian schools in the context of the official curricular guidelines. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
The design and application of a virtual field trip system,C,2006,Po-han,Teacher Librarian,National Lo-tung Senior High School,,,,,,,,,,,,,Taiwan,International Association of School Librarianship,Portugal,Description of System Development,,Qualitative,http://search.proquest.com/docview/236046269/abstract?accountid=14474,"The goal of this research is to use information and communication technology (ICT) to develop so-called ""virtual field trip"" system and the software follows the principles of the anchored instruction, whereby we can design a worksheet for outdoor education. The system combines the anchored instruction, worksheet, and image-based VR in order to make it as a supplementary tool for students before they have a field trip and to raise their learning motivation. Besides, the research also discusses the difference between traditional outdoor education and the model mentioned above. [PUBLICATION ABSTRACT]",Methodology,,,,,,,,,,,,,,,,,,,,,,,,
"Information literacy: reflection encompassing disciplines, knowledge and practice",C,2006,Eteve,Researcher,National Institute of Research in Education,,,,,,,,,,,,,France,International Association of School Librarianship,Portugal,Analysis,,Qualitative,http://search.proquest.com/docview/236036476?pq-origsite=gscholar,"After the Â« Meeting of Information LiteracyÂ» in march 2003, where Professional of School Libraries expressed their desagree with training in Information/Documentation, Secondary School Librarers and Education and Information Researchers link their forces to built a Curriculum from pre-school to universities. The principe was : Information Literacy in not only the result of some skills dispenses and learned through hazard but a continuum training from primary school to higher education and Activ Life. What Information Knowledges must teach and learn ? Three researchs themas where used to respons : Academic Didactics, Sociology of curriculum and Cognitiv education. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
"School libraries, information gap and social inclusion in Papua new Guinea---Making it happen",C,2006,Filippi,Schools Adviser,International Education Agency,,,,,,,,,,,,,New Guinea,International Association of School Librarianship,Portugal,Descriptive,,Qualitative,http://search.proquest.com/docview/236047167/abstract?accountid=14474,"School libraries, just like the school community, do reflect the social environment in which they operate. This is the story of the emergence of one such library, within Papua New Guinea and its development through the assistance of AUSAID. It looks at an idea - Resource Based Learning - which has enabled the local community to take ownership of a resource centre which will now be able to provide a true teaching/learning environment for all of the community. It is more than a collection of books! It has the beginnings of a vibrant active resource for the whole community. [PUBLICATION ABSTRACT]",Library History,,,,,,,,,,,,,,,,,,,,,,,,
